AMOSTRA,area,REP,COL,H,N,S,UR,T,D_EV1,F1_LC__m,F1_LP,F1_EL__m,F1_NP,F1_GP__m,F1_SP__m,F1_OC__m,D_EV2,F2_LC__m,F2_LP,F2_EL__m,F2_NP,F2_GP__m,F2_SP__m,F2_OC__m,D_EV3,F3_LC__m,F3_LP,F3_EL__m,F3_NP,F3_GP__m,F3_SP__m,F3_OC__m
C1b4,C1b,4,B,1.792,6,6,87.4,21.1,0.7750241945417234,1747800,0.514846235,21780,6,1675800,4500,1161900,0.7501680471622306,5508000,0.404681611,63000,21,5076000,900,3861900,0.7637148191339488,9283500,0.302856807,120480,45,8197200,900,6219900
C1c1,C1c,1,C,1.33,6,4,87.7,22.9,0.872166265,660600,0.195264698,20820,10,343800,1800,164700,0.8171995899527635,2418300,0.178419655,71640,22,834300,8100,700200,0.7550306649480034,4992300,0.163662113,142260,60,1154700,900,1613700
C1c2,C1c,2,C,2.079,8,8,87.7,22.9,0.872166265,660600,0.195264698,20820,10,343800,1800,164700,0.8171995899527635,2418300,0.178419655,71640,22,834300,8100,700200,0.7550306649480034,4992300,0.163662113,142260,60,1154700,900,1613700
C1c3,C1c,3,C,1.834,10,7,87.7,22.9,0.872166265,660600,0.195264698,20820,10,343800,1800,164700,0.8171995899527635,2418300,0.178419655,71640,22,834300,8100,700200,0.7550306649480034,4992300,0.163662113,142260,60,1154700,900,1613700
C1c4,C1c,4,C,0,1,1,87.7,22.9,0.872166265,660600,0.195264698,20820,10,343800,1800,164700,0.8171995899527635,2418300,0.178419655,71640,22,834300,8100,700200,0.7550306649480034,4992300,0.163662113,142260,60,1154700,900,1613700
C2a1,C2a,1,A,2.659,18,15,85.7,21.8,0.7116814038339198,590400,0.1746074,14880,6,380700,10800,227700,0.8403033724312361,2811600,0.207643735,64980,31,824400,900,1287900,0.8179739137595916,6519600,0.213851331,150780,61,1707300,900,2944800
C2a2,C2a,2,A,2.867,24,19,85.7,21.8,0.7116814038339198,590400,0.1746074,14880,6,380700,10800,227700,0.8403033724312361,2811600,0.207643735,64980,31,824400,900,1287900,0.8179739137595916,6519600,0.213851331,150780,61,1707300,900,2944800
C2a3,C2a,3,A,1.099,3,3,85.7,21.8,0.7116814038339198,590400,0.1746074,14880,6,380700,10800,227700,0.8403033724312361,2811600,0.207643735,64980,31,824400,900,1287900,0.8179739137595916,6519600,0.213851331,150780,61,1707300,900,2944800
C2a4,C2a,4,A,0,0,0,85.7,21.8,0.7116814038339198,590400,0.1746074,14880,6,380700,10800,227700,0.8403033724312361,2811600,0.207643735,64980,31,824400,900,1287900,0.8179739137595916,6519600,0.213851331,150780,61,1707300,900,2944800
C2c1,C2c,1,C,2.138,12,9,81.2,22.6,0.5174532792350417,134100,0.039701572,6180,4,63900,6300,23400,0.6594347183770488,,,,,,,,,,,,,,,
"	1656900	0.122480208	49560	34	225000	900	496800	0.686169511	3591000	0.117838157	111180	86	288900	900	1034100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2c2,C2c,2,C,2.164,10,9,81.2,22.6,0.5174532792350417,134100,0.039701572,6180,4,63900,6300,23400,0.6594347183770488,,,,,,,,,,,,,,,
"	1656900	0.122480208	49560	34	225000	900	496800	0.686169511	3591000	0.117838157	111180	86	288900	900	1034100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2c3,C2c,3,C,2.425,17,12,81.2,22.6,0.5174532792350417,134100,0.039701572,6180,4,63900,6300,23400,0.6594347183770488,,,,,,,,,,,,,,,
"	1656900	0.122480208	49560	34	225000	900	496800	0.686169511	3591000	0.117838157	111180	86	288900	900	1034100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2c4,C2c,4,C,2.71,25,18,81.2,22.6,0.5174532792350417,134100,0.039701572,6180,4,63900,6300,23400,0.6594347183770488,,,,,,,,,,,,,,,
"	1656900	0.122480208	49560	34	225000	900	496800	0.686169511	3591000	0.117838157	111180	86	288900	900	1034100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3a1,C3a,1,A,1.906,8,7,78,23.6,0.7109345260650571,536400,0.159315691,18240,14,252900,900,146700,0.74096887,1844100,0.136291074,63600,39,361800,1800,450900,0.7484610525597835,3567600,0.117056461,127260,74,361800,900,760500
C3a2,C3a,2,A,1.792,6,6,78,23.6,0.7109345260650571,536400,0.159315691,18240,14,252900,900,146700,0.74096887,1844100,0.136291074,63600,39,361800,1800,450900,0.7484610525597835,3567600,0.117056461,127260,74,361800,900,760500
