codigo,area,CLASSE,REP,COL,S,N,H,UR,T,D_EV1,F1_LC,Fsa1_LC (4),FCa1_LC (12),S1_LC (9),P1_LC (15),MU1_LC (21),NVeg1_LC (25),So1_LC (39),LT1_LC (41),C1_LC (46),Cit1_LC (47),LP1_LC (48),F1_LP,F1_EL,F1_NP,F1_GP,F1_SP,F1_OC,D_EV2,F2_LC,Fsa2_LC (4),FCa2_LC (12),S2_LC (9),P2_LC (15),MU2_LC (21),NVeg2_LC (25),So2_LC (39),LT2_LC (41),C2_LC (46),LP2_LC (48),Cit2_LC (47),F2_LP,F2_EL,F2_NP,F2_GP,F2_SP,F2_OC,D_EV3,F3_LC__m,Fsa3_LC (4),S3_LC (9),FCa3_LC (12),P3_LC (15),MU3_LC (21),NVeg3_LC (25),So3_LC (39),LT3_LC (41),C3_LC (46),LP3_LC (48),Cit3_LC (47),F3_LP,F3_EL,F3_NP,F3_GP,F3_SP,F3_OC
F3b4,F3b,floresta,4,B,5,5,1.609,94.7,20.6,0.55540266,2737800,0,8100,0,509400,87300,0,0,43200,0,0,0,0.80861244,10920,2,2734200,3600,2417400,0.645604382,7928100,0,99900,0,3872700,531900,0,0,1118700,17100,900,0,0.584267427,46620,14,7634700,7200,6696000,0.65074454,16025400,0,62100,596700,9976500,1797300,0,0,1943100,94500,28800,0,0.525002948,129480,35,13354200,900,12551400
F3c1,F3c,floresta,1,C,21,41,2.721,91.2,20.4,0.677924413,2312100,0,0,514800,14400,537300,0,0,23400,0,0,0,0.67962963,33180,8,2174400,900,1431000,0.764923645,6630300,0,0,2113200,1657800,2743200,0,0,83700,33300,0,0,0.486302726,110880,35,5686200,900,3870000,0.75271406,15327000,0,4149000,0,4433400,5989500,0,0,162000,46800,0,0,0.498974509,239340,53,10885500,900,9372600
F3c2,F3c,floresta,2,C,14,27,2.361,91.2,20.4,0.677924413,2312100,0,0,514800,14400,537300,0,0,23400,0,0,0,0.67962963,33180,8,2174400,900,1431000,0.764923645,6630300,0,0,2113200,1657800,2743200,0,0,83700,33300,0,0,0.486302726,110880,35,5686200,900,3870000,0.75271406,15327000,0,4149000,0,4433400,5989500,0,0,162000,46800,0,0,0.498974509,239340,53,10885500,900,9372600
F3c3,F3c,floresta,3,C,18,28,2.748,91.2,20.4,0.677924413,2312100,0,0,514800,14400,537300,0,0,23400,0,0,0,0.67962963,33180,8,2174400,900,1431000,0.764923645,6630300,0,0,2113200,1657800,2743200,0,0,83700,33300,0,0,0.486302726,110880,35,5686200,900,3870000,0.75271406,15327000,0,4149000,0,4433400,5989500,0,0,162000,46800,0,0,0.498974509,239340,53,10885500,900,9372600
F3c4,F3c,floresta,4,C,23,45,2.66,91.2,20.4,0.677924413,2312100,0,0,514800,14400,537300,0,0,23400,0,0,0,0.67962963,33180,8,2174400,900,1431000,0.764923645,6630300,0,0,2113200,1657800,2743200,0,0,83700,33300,0,0,0.486302726,110880,35,5686200,900,3870000,0.75271406,15327000,0,4149000,0,4433400,5989500,0,0,162000,46800,0,0,0.498974509,239340,53,10885500,900,9372600
F4a1,F4a,floresta,1,A,25,45,2.982,88.5,19.8,0.584266504,2540700,0,0,38700,193500,464400,0,0,0,41400,0,0,0.744462025,6780,10,63000,900,39600,0.557467562,10824300,0,0,122400,758700,1206000,0,0,0,321300,0,0,0.792344687,74040,6,10778400,900,8648100,0.635491603,20709900,0,513000,0,3334500,2705400,0,0,0,1072800,0,0,0.711885905,157500,30,19878300,900,16318800
F4a2,F4a,floresta,2,A,14,18,2.524,88.5,19.8,0.584266504,2540700,0,0,38700,193500,464400,0,0,0,41400,0,0,0.744462025,6780,10,63000,900,39600,0.557467562,10824300,0,0,122400,758700,1206000,0,0,0,321300,0,0,0.792344687,74040,6,10778400,900,8648100,0.635491603,20709900,0,513000,0,3334500,2705400,0,0,0,1072800,0,0,0.711885905,157500,30,19878300,900,16318800
F4a3,F4a,floresta,3,A,26,70,2.634,88.5,19.8,0.584266504,2540700,0,0,38700,193500,464400,0,0,0,41400,0,0,0.744462025,6780,10,63000,900,39600,0.557467562,10824300,0,0,122400,758700,1206000,0,0,0,321300,0,0,0.792344687,74040,6,10778400,900,8648100,0.635491603,20709900,0,513000,0,3334500,2705400,0,0,0,1072800,0,0,0.711885905,157500,30,19878300,900,16318800
F4a4,F4a,floresta,4,A,16,39,2.365,88.5,19.8,0.584266504,2540700,0,0,38700,193500,464400,0,0,0,41400,0,0,0.744462025,6780,10,63000,900,39600,0.557467562,10824300,0,0,122400,758700,1206000,0,0,0,321300,0,0,0.792344687,74040,6,10778400,900,8648100,0.635491603,20709900,0,513000,0,3334500,2705400,0,0,0,1072800,0,0,0.711885905,157500,30,19878300,900,16318800
F4b1,F4b,floresta,1,B,13,31,2.408,95.9,15.7,0.653070879,1772100,0,0,0,0,28800,0,0,0,0,0,0,0.984007996,8400,1,1772100,1772100,1530000,0.46911469,6721200,0,0,5400,49500,196200,0,0,0,0,0,0,0.915420446,22500,3,6564600,21600,6085800,0.490200131,14323500,0,18000,0,774900,466200,0,0,0,0,0,0,0.839310199,55620,15,12981600,900,12798900
